葡萄酒名称,点击次数,英文名,酒款类型,酒庄,酿酒葡萄,风味特征,酒款综述
中菲酒庄珍藏赤霞珠干红葡萄酒,3116,"Zhong Fei Reserve Cabernet Sauvignon, Xinjiang, China",红葡萄酒,中菲酒庄,"('赤霞珠',)",烟草黑色水果灌木亚洲香料,此款酒以赤霞珠葡萄为原料，遵循传统工艺酿制而成。该酒酒体丰满，伴随着烟草、黑色水果、灌木和亚洲香料的芳香，口感圆润、平衡感强，酸度适宜，结构感强，建议在15一17℃下饮用，搭配烤肉、各类野味、炖肉等饮用更佳。
中菲酒庄桃红葡萄酒,3378,"Zhong Fei Rose, Xinjiang, China",桃红葡萄酒,中菲酒庄,"('品丽珠', '西拉')",樱桃玫瑰,此款酒由西拉、品丽珠葡萄为原料，按传统工艺发酵酿制而成。该酒色泽呈浅桃色，犹如玫瑰花瓣一般迷人，香气清新雅致、果香丰富，口感平衡柔滑，建议在10一12℃下饮用，适宜于各类食物搭配饮用。
中菲酒庄橡木桶陈酿赤霞珠干红葡萄酒,3237,"Zhong Fei Barrel Aged Cabernet Sauvignon, Xinjiang, China",红葡萄酒,中菲酒庄,"('赤霞珠',)",黑樱桃黑莓咖啡可可,此款葡萄酒的原料经过精挑细选，按传统工艺发酵酿制而成，酒体呈深邃的红宝石色，经法国橡木桶陈酿，充满幽雅的果香和醇厚的酒香，口味浓郁度适中，入口甜美、口感平衡，结构感强。建议在15一17℃下饮用，搭配烧炖牛肉等饮用更佳。
中菲酒庄梅洛干红葡萄酒,2151,"Zhong Fei Merlot, Xinjiang, China",红葡萄酒,中菲酒庄,"('梅洛',)",覆盆子李子,中菲酒庄梅洛干红酒体呈明亮的覆盆子红色，馥郁饱满、甜美柔顺，口感圆润厚实，具有天鹅绒般的质感，并带有丰富迷人的成熟李子果的香气，建议在15一17℃下饮用，搭配红烧肉、黑椒鸡扒等饮用更佳。
中菲酒庄霞多丽干白葡萄酒,1335,"Zhong Fei Chardonnay, Xinjiang, China",白葡萄酒,中菲酒庄,"('霞多丽',)",青柠西柚菠萝,此款酒由霞多丽葡萄酿制而成，酒体色泽呈浅绿微黄色，果香浓郁，香气迷人，伴有黄色水果的气息，口感细腻幽雅，清爽干净，建议在15一17℃下饮用，搭配海鲜等白肉类饮用更佳。
中菲酒庄赤霞珠干红葡萄酒,1593,"Zhong Fei Cabernet Sauvignon, Xinjiang, China",红葡萄酒,中菲酒庄,"('赤霞珠',)",黑醋栗欧李紫罗兰,此款酒由赤霞珠葡萄酿制而成，酒体色泽呈宝石红色，果味浓郁、香气清新，具有似黑醋栗、欧李及紫罗兰的气息，入口即可感受到柔滑的单宁，紧致而有质感，口感平衡，结构感强。建议在15一17℃下饮用，搭配小羊肉、红肉等饮用更佳。
中菲酒庄橡木桶陈酿西拉干红葡萄酒,2601,"Zhong Fei Barrel Aged Syran, Xinjiang, China",红葡萄酒,中菲酒庄,"('西拉',)",黑醋栗覆盆子烟熏,中菲酒庄橡木桶陈酿西拉干红葡萄酒的原料经过精挑细选，按传统工艺发酵酿制而成。该酒酒体色泽呈明亮的红宝石色，经法国橡木桶陈酿，充沛的果味与细腻的单宁形成美妙的组合，口感醇厚、回味持久。建议在15一17℃下饮用，搭配肉类菜肴烤鸭、牛排等更佳。
中菲酒庄霞多丽精选干白葡萄酒,1390,"Zhong Fei Premium Chardonnay, Xinjiang, China",白葡萄酒,中菲酒庄,"('霞多丽',)",菠萝柑橘成熟柠檬,中菲酒庄精选级霞多丽干白葡萄酒精选霞多丽葡萄酿造而成，酒体呈澄清明亮的浅柠檬黄色，开瓶即可闻到浓郁的菠萝、柑橘、成熟柠檬的水果芳香和优雅的香草味道，口感爽净细腻。建议在15一17℃下饮用，搭配鳝鱼、三文鱼、生蚝、龙虾等海鲜类饮用更佳。
中菲酒庄珍藏梅洛干红葡萄酒,1312,"Zhong Fei Reserve Merlot, Xinjiang, China",红葡萄酒,中菲酒庄,"('梅洛',)",李子黑醋栗,此款酒以梅洛葡萄为原料，遵循传统工艺酿造而成。该酒酒体色泽呈深邃宝石红色，果味浓郁，伴以李子、黑醋栗的香气，后味悠长、连绵不断，完美的单宁及酒石酸含量构成了醇厚的酒体，结构感丰满且有层次，建议在15一17℃下饮用，搭配各种肉类及烧烤类饮用更佳。
天塞精选红标赤霞珠干红葡萄酒,3213,"Skyline of Gobi Selection Red Label Cabernet Sauvignon, Xinjiang, China",红葡萄酒,天塞酒庄,"('赤霞珠',)",,该款酒采用天山南麓焉耆盆地出产的赤霞珠葡萄酿造，在法国橡木桶内陈酿而成。葡萄酒呈明亮的宝石红色，清澈透亮；香气浓郁而清新，明显的烟熏、咖啡、香草气息，以及黑加仑等果香；口感强劲，单宁紧实，结构平衡，具有较好的长度。
