葡萄酒名称,点击次数,英文名,酒款类型,酒庄,酿酒葡萄,风味特征,酒款综述
莫高“金橡木桶奖”金爵士黑比诺干红葡萄酒,3789,"Mogao Golden Knight Pinot Noir, Gansu, China (Golden Barrel Award)",红葡萄酒,莫高葡萄庄园,"('黑皮诺',)",覆盆子樱桃紫罗兰,莫高“金橡木桶奖”金爵士黑比诺干红葡萄酒系选用北纬38°世界黄金葡萄种植带莫高葡萄庄园1999年优质黑皮诺葡萄，采用先进设备，经精选原料、除梗破碎、控温发酵、橡木桶陈藏等OIV工艺精心酿制而成的健康饮品。葡萄酒酒体呈宝石红，澄清绚丽；香气浓郁，芬芳幽雅，口感醇厚，舒适和谐；酒温12-16℃时饮用品质最佳。
莫高2001款黑比诺干红葡萄酒,2735,"Mogao 2001 Pinot Noir, Gansu, China",红葡萄酒,莫高葡萄庄园,"('黑皮诺',)",红樱桃香草烘烤,莫高2001款黑比诺干红葡萄酒系选用北纬38°世界黄金葡萄种植带莫高葡萄庄园的优质黑皮诺葡萄，采用先进设备，经精选原料、除梗破碎、控温发酵、橡木桶陈藏等OIV工艺精心酿制而成的健康饮品。葡萄酒酒体清澈明亮，呈艳丽的宝石红，闻之含有丰富的果香，口感丰厚均衡。
莫高2000款黑比诺干红葡萄酒,2555,"Mogao 2000 Pinot Noir, Gansu, China",红葡萄酒,莫高葡萄庄园,"('黑皮诺',)",红樱桃香草烘烤,"莫高2000款黑比诺干红葡萄酒系选用北纬38°世界黄金葡萄种植带莫高葡萄庄园的黑皮诺葡萄,采用先进设备，经精选原料、除梗破碎、控温发酵、瓶贮陈藏等OIV工艺精心酿制而成的健康饮品。该款葡萄酒酒体呈宝石红，带有成熟的红樱桃果香及精制木香，口感丰厚均衡。"
莫高金爵士干红葡萄酒,3774,"Mogao Golden Knight Dry Red, Gansu,China",红葡萄酒,莫高葡萄庄园,"('黑皮诺',)",樱桃紫罗兰甘草,"莫高金爵士干红葡萄酒系选用北纬38°世界黄金葡萄种植带莫高葡萄庄园1999年优质黑皮诺葡萄,采用世界著名的法国拉菲酒庄独特的工艺技术，完全由黑皮诺葡萄单品种酿制而成的稀罕的葡萄酒珍品，因数量极少而极其珍贵。这款葡萄酒是经精选原料、除梗破碎、控温发酵、橡木桶陈藏等OIV工艺精心酿制而成的健康饮品。"
莫高八年窖藏黑比诺干红葡萄酒,1552,"Mogao 8-Year Cellar Aged Pinot Noir, Gansu, China",红葡萄酒,莫高葡萄庄园,"('黑皮诺',)",草莓樱桃皮革蘑菇,"莫高八年窖藏黑比诺干红葡萄酒系选用甘肃莫高葡萄庄园优质黑皮诺葡萄,采用先进设备，经精选原料、除梗破碎、控温发酵、橡木桶陈藏等OIV工艺精心酿制而成的健康饮品。葡萄酒酒体呈宝石红，澄清绚丽；果香浓郁，芬芳幽雅；口感柔嫩，舒适和谐。"
莫高1999款黑比诺干红葡萄酒,2595,"Mogao 1999 Pinot Noir, Gansu, China",红葡萄酒,莫高葡萄庄园,"('黑皮诺',)",覆盆子樱桃紫罗兰,莫高1999款黑比诺干红葡萄酒系选用北纬38°世界黄金葡萄种植带莫高葡萄庄园的优质黑皮诺葡萄，采用先进设备，经精选原料、除梗破碎、控温发酵、瓶贮陈藏等OIV工艺精心酿制而成的健康饮品。该款葡萄酒呈亮丽的宝石红，果香浓郁，口感柔嫩，舒适和谐。
莫高650ml赤霞珠干红葡萄酒,1086,"Mogao 650ml Cabernet Sauvignon, Gansu, China",红葡萄酒,莫高葡萄庄园,"('赤霞珠',)",黑樱桃黑莓,莫高650ml赤霞珠干红葡萄酒以莫高庄园名贵葡萄赤霞珠为原料，采用国际OIV工艺精酿而成。酒体呈深宝石红色，果香馥郁、醇香协调。有浓郁的黑樱桃和黑莓的香气，口感复杂，典型性强，酒温在14-18℃时饮用品质最佳。
莫高蛇龙珠干红葡萄酒,2090,"Mogao Cabernet Gernischt, Gansu, China",红葡萄酒,莫高葡萄庄园,"('蛇龙珠',)",李子醋栗,莫高蛇龙珠干红葡萄酒系选用北纬38°世界黄金葡萄种植带莫高葡萄庄园名贵葡萄蛇龙珠精心酿制而成。该款葡萄酒果香浓郁、优雅、入口舒顺，层次分明，富有个性，是值得鉴赏的酒中珍品。
莫高庄园黑比诺干红葡萄酒,1230,"Mogao Fazenda Pinot Noir, Gansu, China",红葡萄酒,莫高葡萄庄园,"('黑皮诺',)",草莓樱桃香草,莫高庄园黑比诺干红葡萄酒系选用北纬38°世界黄金葡萄种植带莫高葡萄庄园优质黑皮诺葡萄，采用先进设备，经精选原料、除梗破碎、控温发酵、橡木桶陈藏等OIV工艺精心酿制而成的健康饮品。
莫高马踏飞燕干红葡萄酒,1333,"Mogao Copper Flying Horse Dry Red, Gansu, China",红葡萄酒,莫高葡萄庄园,(),樱桃蓝莓覆盆子,莫高马踏飞燕干红葡萄酒以莫高庄园名贵葡萄为原料，采用国际OIV工艺精酿而成，使传统工艺与现代科技得到完美结合。该酒酒体呈深宝石红色，果香纯正，口感柔顺。
莫高五年珍品赤霞珠干红葡萄酒,1888,"Mogao Five-year Grand Reserve Cabernet Sauvignon, Gansu, China",红葡萄酒,莫高葡萄庄园,"('赤霞珠',)",黑樱桃黑莓,莫高典藏赤霞珠干红葡萄酒以莫高庄园名贵葡萄赤霞珠为原料，采用国际OIV工艺精酿而成，酒体呈深宝石红色，果香馥郁、醇香协调。有浓郁的黑樱桃和黑莓的香气，口感复杂，典型性强，酒温在14-18℃时饮用品质最佳。
莫高灰比诺干红葡萄酒,1816,"Mogao Pinot Gris, Gansu, China",红葡萄酒,莫高葡萄庄园,"('灰皮诺',)",坚果蜂蜜,莫高灰比诺干红葡萄酒系选用北纬38°世界黄金葡萄种植带莫高葡萄庄园优质灰皮诺葡萄所酿造。这是一款经精选原料、除梗破碎、控温发酵、橡木桶陈藏等OIV工艺精心酿制而成的健康饮品。优质的灰比诺葡萄酒有着花和蜜的芳香，也常混有坚果或水果香，酒体适中或丰满，酸度较低，风格较独特。
