葡萄酒名称,点击次数,英文名,酒款类型,酒庄,酿酒葡萄,风味特征,酒款综述
张裕黄金冰谷金钻级冰酒,2981,"Changyu Golden Icewine Valley Golden Diamond Icewine, Huanren, China",甜酒,张裕黄金冰谷冰酒酒庄,"('威代尔',)",杏果菠萝玫瑰,张裕黄金冰谷金钻级冰酒由欧洲和北美杂交葡萄品种威代尔酿制而成。葡萄酒色泽金黄，澄清晶亮，具有浓郁的杏果、菠萝、玫瑰、蜂蜜及热带水果的复合香气，口味甜润肥硕，酸度爽适而平衡，甘冽爽口，余香持久。冰葡萄酒可配搭任何菜肴，其中蓝莓奶酪、肥鹅肝都是最佳搭配。
张裕黄金冰谷蓝钻级冰酒,2238,"Changyu Golden Icewine Valley Blue Diamond Level Icewine, Huanren, China",甜酒,张裕黄金冰谷冰酒酒庄,"('威代尔',)",杏果菠萝玫瑰,张裕黄金冰谷蓝钻级冰酒由欧洲和北美杂交葡萄品种威代尔酿制而成。葡萄酒色泽金黄，澄清晶亮，具有浓郁的杏果、菠萝、玫瑰、蜂蜜及热带水果的复合香气，口味甜润肥硕，酸度爽适而平衡，甘冽爽口，余香持久。冰葡萄酒可配搭任何菜肴，其中蓝莓奶酪、肥鹅肝都是最佳搭配。
张裕黄金冰谷黑钻级冰酒,2582,"Changyu Golden Icewine Valley Black Diamond Level Icewine, Huanren, China",甜酒,张裕黄金冰谷冰酒酒庄,"('威代尔',)",杏果菠玫瑰蜂蜜,张裕黄金冰谷黑钻级冰酒由欧洲和北美杂交葡萄品种威代尔酿制而成。葡萄酒色泽金黄，澄清晶亮，具有浓郁的杏果、菠萝、玫瑰、蜂蜜及热带水果的复合香气，口味甜润肥硕，酸度爽适而平衡，甘冽爽口，余香持久。冰葡萄酒可配搭任何菜肴，其中蓝莓奶酪、肥鹅肝都是最佳搭配。
张裕黄金冰谷冰爽冰酒,2316,"Changyu Golden Icewine Valley Icewine, Huanren, China",甜酒,张裕黄金冰谷冰酒酒庄,"('威代尔',)",花果蜂蜜,张裕黄金冰谷冰爽冰酒色泽金黄，具有花果、蜂蜜及热带水果的香气，口味甜润，酸度平衡，爽口余香持久。
张裕黄金冰谷开庄珍藏蓝钻级冰酒,1858,"Changyu Golden Icewine Valley Reserve Blue Diamond Level Icewine, Huanren, China",甜酒,张裕黄金冰谷冰酒酒庄,"('威代尔',)",花果蜂蜜热带水果,张裕冰酒分为金钻、蓝钻和黑钻。张裕黄金冰谷开庄珍藏蓝钻级冰酒属于蓝钻级别，等级在金钻之上，口味更加清香。冰葡萄酒可配搭任何菜肴，其中蓝莓奶酪、肥鹅肝都是最佳搭配。而以甜品如新鲜水果，巧克力来搭配冰酒，口感将会更加美妙香醇。
里雅至尊臻品红冰葡萄酒,3121,"Liya Grand Premium Red Icewine, Huanren, China",甜酒,里雅冰酒酒庄,"('品丽珠',)",蜂蜜焦糖,里雅至尊臻品红冰葡萄酒是一款具有国际水平的高端冰葡萄酒，在每年十二月份，当气温达到-8℃以下、持续48小时后手工分选采摘，按照加拿大传统工艺，经过低温发酵三个月、恒温陈酿十个月、瓶贮二个月以上时间酿制而成。该酒具有红宝石色泽、清澈透明具有典型的蜂蜜香味和焦糖香味，花香、果香浓郁。该酒体丰满、口感顺滑平衡、余味悠长。
里雅酒庄臻品白冰葡萄酒,1556,"Liya Premium Domaine White Icewine, Huanren, China",甜酒,里雅冰酒酒庄,"('威代尔',)",蜂蜜玫瑰花,里雅酒庄臻品白冰葡萄酒是一款具有国际水平的高端冰葡萄酒，所选用的冰葡萄均在-8℃气温以下、持续48小时候后手工分选采摘，按照加拿大传统工艺，经过低温发酵三个月、恒温陈酿十个月、瓶贮二个月以上精心酿制而成。该酒具有金黄色泽、清澈透明；具有典型的蜂蜜香和花香，果香浓郁，酒体丰满，口感酸甜平衡，余味悠长。
里雅至尊臻品白冰葡萄酒,1499,"Liya Grand Premium White Icewine, Huanren, China",甜酒,里雅冰酒酒庄,"('威代尔',)",蜂蜜玫瑰花,里雅至尊臻品白冰葡萄酒是一款具有国际水平的高端冰葡萄酒，所选用的冰葡萄均在-8℃气温以下、持续48小时候后手工分选采摘，按照加拿大传统工艺，经过低温发酵三个月、恒温陈酿十个月、瓶贮二个月以上精心酿制而成。该酒具有金黄色泽、清澈透明；具有典型的蜂蜜香和花香，果香浓郁，酒体丰满，口感酸甜平衡，余味悠长。
思帕蒂娜St系列红冰葡萄酒,1225,"Senpatina St Red Icewine, Huanren, China",甜酒,思帕蒂娜冰酒庄园,(),樱桃蜂蜜,思帕蒂娜St系列红冰葡萄酒是由100%的葡萄汁酿制而成的冰酒。该款冰红酒呈酒红色，酒质醇厚，口感隽永，适宜搭配姜饼、布丁等餐后甜点。
思帕蒂娜S1系列白冰葡萄酒,1203,"Senpatina S1 White Icewine, Huanren, China",甜酒,思帕蒂娜冰酒庄园,(),菠萝蜂蜜,思帕蒂娜S1系列白冰葡萄酒是由100%的葡萄汁酿制而成的冰酒。该款白冰葡萄酒酒色金黄，酒质清凉，口感清爽，宜冷饮，若加上新鲜水果、巧克力等一起品尝，口感将会更加美妙香醇。
思帕蒂娜红冰葡萄酒,1666,"Senpatina Red Icewine, Huanren, China",甜酒,思帕蒂娜冰酒庄园,(),樱桃蜂蜜,思帕蒂娜红冰葡萄酒是由100%的葡萄汁酿制而成的冰酒。该款红冰葡萄酒呈酒红色，酒质醇厚，口感隽永，适宜在室温下饮用，一般在12-18℃之间；年份越长的冰酒温度适宜越高。
思帕蒂娜XB系列白冰葡萄酒,687,"Senpatina XB White Icewine, Huanren, China",甜酒,思帕蒂娜冰酒庄园,(),菠萝蜂蜜,思帕蒂娜XB系列白冰葡萄酒是由100%的葡萄汁酿制而成的冰酒，不仅美味可口，而且营养价值非常丰富。该款白冰酒酒色金黄，酒质清凉，口感清爽，适宜冷饮。
通化经典山红葡萄酒,2145,"Tonhwa Classic Red Wine, Jilin, China",红葡萄酒,通化葡萄酒,"('山葡萄',)",,本品是用长白山山葡萄酿制的经典山葡萄佳酿，经传统工艺和现代技术结合，保留了野生山葡萄天然纯净的成分，酒体通透、丰富圆润。
通化原汁山红葡萄酒,1756,"Tonhwa Natural Wild Grape Wine, Jilin, China",红葡萄酒,通化葡萄酒,"('山葡萄',)",,选用长白山特产优质野生山葡萄为原料，采用国际先进的酿酒技术和独特的传统工艺酿造而成，属于低酒度甜红葡萄酒。
通化蓝莓起泡酒,1727,"Tonhwa Blueberry Sparkling Wine, Jilin, China",起泡酒,通化葡萄酒,"('山葡萄',)",,选用长白山山葡萄为原料，经现代先进的酿酒工艺及设备精心酿制而成的一款低酒度起泡酒，拥有瑰丽的色泽、优雅的酒香、丰富的泡沫以及清爽的口感。
通化精品高级山红葡萄酒,1164,"Tonhwa Boutique advanced Red Wild Grape Wine, Jilin, China",红葡萄酒,通化葡萄酒,"('山葡萄',)",,采用长白山特产野生山葡萄为原料，采用独特工艺酿造而成。色泽晶红，清澈透明，酸甜适口，风味独特。
通化手工精选原汁山红葡萄酒,1207,"Tonhwa Hand Picked Natural Wild Grape Wine, Jilin, China",红葡萄酒,通化葡萄酒,"('山葡萄',)",,选用长白山特产优质野生山葡萄为原料，采用国际先进的酿酒技术和独特的传统工艺酿造而成，属于低酒度甜红葡萄酒。
通化雅士樽晚收冰白葡萄酒,1524,"Tonhwa Yasay Late Harvest White Icewine, Jilin, China",甜酒,通化葡萄酒,"('山葡萄',)",,这款葡萄酒呈金黄色，带有晚收葡萄的特有香气，口感甜爽顺滑，香气浓郁。
通化高级红葡萄酒,1732,"Tonhwa High-Grade Red Wine, Jilin, China",红葡萄酒,通化葡萄酒,"('山葡萄',)",风味独特酒香浓郁,采用长白山特产野生山葡萄为原料，采用独特工艺酿造而成。色泽晶红，清澈透明，酸甜适口，风味独特。
