葡萄酒名称,点击次数,英文名,酒款类型,酒庄,酿酒葡萄,风味特征,酒款综述
香格里拉十五年树龄干红葡萄酒,2880,"Shangri-La 15-Year Old Vine Dry Red, Lulong, China",红葡萄酒,香格里拉酒业,"('赤霞珠',)",黑醋栗咖啡烘烤,香格里拉十五年树龄干红葡萄酒采用15年以上的优质赤霞珠葡萄为原料酿制，并经橡木桶陈酿窖藏而成。该酒酒色为宝石红，酒香气浓郁和谐，具典型的品种香、幽雅的酒香及和谐的橡木香，口感醇和协调，酒体圆润丰满。
香格里拉高原2100干红葡萄酒,5549,"Shangri-La Altitwine 2100, Yunnan, China",红葡萄酒,香格里拉酒业,"('赤霞珠',)",黑加仑黑樱桃李子,香格里拉高原2100干红葡萄酒以精选海拔2100米的赤霞珠葡萄为原料精心酿制而成。葡萄酒酒体呈鲜亮的紫罗兰色泽，酒体丰厚，果香浓郁，是一款非常独特的高原葡萄酒。
香格里拉高原1700干红葡萄酒,4045,"Shangri-La Altitwine 1700, Yunnan, China",红葡萄酒,香格里拉酒业,"('赤霞珠',)",细致优雅余韵悠长,香格里拉高原1700干红葡萄酒以精选海拔1700米的赤霞珠葡萄为原料精心酿制而成，并在法国橡木桶内陈酿窖藏12个月而成，香气馥郁，口感细致优雅，余韵悠长，是一款独具特色，甘美适口的佳酿葡萄酒。
香格里拉高原A3干白葡萄酒,1741,"Shangri-La Altitwine No.3 Dry White, Yunnan, China",白葡萄酒,香格里拉酒业,"('霞多丽',)",柑橘苹果白桃,香格里拉高原A3干白葡萄酒以精选香格里拉有机葡萄园霞多丽葡萄为原料，100%遵循法国夏布利法酿造，在橡木桶中发酵结束后，接触酒泥陈酿4-6个月。该酒口感爽净，幽雅细腻，成熟的果香融合在甘滑的酒液中，沁透心底。
香格里拉高原A3干红葡萄酒,3521,"Shangri-La Altitwine No.3, Yunnan, China",红葡萄酒,香格里拉酒业,"('赤霞珠',)",,香格里拉高原A3干红葡萄酒以精选香格里拉有机葡萄园赤霞珠葡萄为原料，经法国传统酿造工艺和时间的洗礼，酒液呈现出宝石般的红色，优雅妩媚，芬芳的果香融合着醇厚的酒香环绕口鼻，余味久久。
香格里拉高原2800干红葡萄酒,4658,"Shangri-La Altitwine 2800, Yunnan, China",红葡萄酒,香格里拉酒业,"('赤霞珠',)",黑加仑咖啡香草巧克力,香格里拉高原2800干红葡萄酒以精选海拔2800米的赤霞珠为原料匠心酿造而成，并在法国橡木桶内陈酿窖藏18个月以上，果香与橡木香完美和谐，丰厚有力，结构饱满，是一款极具有长期保存潜力的高品质葡萄酒。
香格里拉贵人香干白葡萄酒,3063,"Shangri-La Riesling Italico, Lulong, China",白葡萄酒,香格里拉酒业,"('意大利雷司令',)",柠檬西柚,香格里拉葡萄酒大师，精选成熟度极佳的优质葡萄酿制而成，贮存于橡木桶中酿制，其清新的芳香和独特的口感，完美展现了这一国际著名品种的独特魅力。意大利葡萄美人的馥郁华丽，弥漫着浓郁饱满的芬芳，正如她的名字，贵人香，一款不可多得的贵人之选。
香格里拉精特选有机干白葡萄酒,1363,"Shangri-La Premium Organic Dry White, Yunnan, China",白葡萄酒,香格里拉酒业,"('雷司令',)",菠萝西柚柑橘,精选级有机干白葡萄酒选用香格里拉有机葡萄园内优质雷司令葡萄为原料，精心酿制而成，本酒澄清透明，呈浅禾杆黄色，果香浓郁，口感爽净，优雅细腻，是一款上佳的有机干白葡萄酒。
香格里拉高原A6干红葡萄酒,3105,"Shangri-La Altitwine No.6, Yunnan, China",红葡萄酒,香格里拉酒业,"('赤霞珠',)",,香格里拉高原A6干红葡萄酒以香格里拉有机葡萄园赤霞珠葡萄为原料，通过酿酒大师对葡萄园的挑选、葡萄粒的分选和法国酿酒工艺精心酝酿而成，经橡木桶陈酿12～18月，酒窖瓶储6～12个月，属于高原系列葡萄酒中的珍品。
香格里拉高原1900干红葡萄酒,3936,"Shangri-La Altitwine 1900, Yunnan, China",红葡萄酒,香格里拉酒业,"('赤霞珠',)",黑加仑黑樱桃李子,香格里拉高原1900干红葡萄酒以精选海拔1900米的赤霞珠葡萄为原料精心酿制而成，经法国橡木桶窖藏12个月，葡萄酒酒体呈鲜亮的紫罗兰色泽，酒体丰厚，果香浓郁，是一款非常独特的高原葡萄酒。
