葡萄酒名称,点击次数,英文名,酒款类型,酒庄,酿酒葡萄,风味特征,酒款综述
西夫拉姆赤霞珠干红葡萄酒,5433,"Saflam Cabernet Sauvignon, Yantai, China",红葡萄酒,西夫拉姆酒堡,"('赤霞珠',)",黑色水果青椒香料,这款葡萄酒由法国原汁进口，酒液呈深宝石红色，澄清透明，闻之富含黑色水果的香气，还伴青椒、香料等气味，口感圆润，单宁柔和，酒体丰满。
西夫拉姆50年老树赤霞珠干红葡萄酒,3313,"Saflam 50-Year Old Vine Cabernet Sauvignon, Yantai, China",红葡萄酒,西夫拉姆酒堡,"('赤霞珠',)",黑色浆果动物皮革香草,这款葡萄酒由法国原汁进口，酒液呈樱桃红色，澄清明亮，有明显的黑色浆果的香气，随着时间的推移，还发展出动物味、皮革味，以及橡木桶带来的香草味，酒体饱满，回味悠长。
西夫拉姆60年老树特级赤霞珠干红葡萄酒,4661,"Saflam 60-Year Old Vine Premium Cabernet Sauvignon, Yantai, China",红葡萄酒,西夫拉姆酒堡,"('赤霞珠',)",黑色浆果咖啡可可烟熏,这款葡萄酒的原汁来自法国的朗格多克地区，酒体呈樱桃红色，澄清明亮，既有浓郁的黑色浆果的香气，又有橡木桶赋予的咖啡、可可和烟熏的气味，口感醇厚，回味悠长。
西夫拉姆霞多丽特级干白葡萄酒,1904,"Saflam Premium Chardonnay, Yantai, China",白葡萄酒,西夫拉姆酒堡,"('霞多丽',)",柑橘白桃甜瓜,这款葡萄酒由法国原汁进口，酒液呈琥珀色，晶莹明亮，带有明显的柑橘、白桃和甜瓜等水果香气，酸度清爽，酒体饱满。
西夫拉姆40年老树赤霞珠干红葡萄酒,2193,"Saflam 40-Year Old Vine Cabernet Sauvignon, Yantai, China",红葡萄酒,西夫拉姆酒堡,"('赤霞珠',)",黑加仑黑樱桃香草咖啡烘烤,这款葡萄酒由法国原汁进口，酒液呈樱桃红色，优雅迷人，黑色水果如黑加仑、黑樱桃的香气萦绕其中，还有浓郁的橡木桶风味，如香草、咖啡和烘烤的气味，口感圆润，酒体饱满。
西夫拉姆老树赤霞珠干红葡萄酒,1406,"Saflam Old Vine Cabernet Sauvignon, Yantai, China",红葡萄酒,西夫拉姆酒堡,"('赤霞珠',)",黑色浆果咖啡烘烤矿物质,这款葡萄酒由法国原汁进口，酒液呈樱桃红色，澄清明亮，黑色浆果的香气较为明显，还伴有橡木桶的气味以及矿物气息，入口圆润，单宁平滑，余味悠长。
西夫拉姆10年老树赤霞珠干红葡萄酒,1323,"Saflam 10-Year Old Vine Cabernet Sauvignon, Yantai, China",红葡萄酒,西夫拉姆酒堡,"('赤霞珠',)",黑色水果咖啡可可,这款葡萄酒由法国原汁进口，酒液呈樱桃红色，澄清明亮，黑色水果的香气萦绕其中，还有明显的橡木风味，酒香协调，入口圆润，余味悠长。
西夫拉姆特级赤霞珠干红葡萄酒,1397,"Saflam Premium Cabernet Sauvignon, Yantai, China",红葡萄酒,西夫拉姆酒堡,"('赤霞珠',)",黑色浆果青椒香料,这款葡萄酒由法国原汁进口，酒液呈樱桃红色，澄清明亮，有明显的黑色浆果的香气，以及青椒、香料的气味，香气馥郁，酒体优雅。
西夫拉姆酒堡赤霞珠干红葡萄酒,1896,"Saflam Cabernet Sauvignon, IGP Pays d'Oc, France",红葡萄酒,西夫拉姆酒堡,"('赤霞珠',)",,
西夫拉姆30年老树赤霞珠干红葡萄酒,1731,"Saflam 30-Year Old Vine Cabernet Sauvignon, Yantai, China",红葡萄酒,西夫拉姆酒堡,"('赤霞珠',)",,这是一款来自中国烟台产区的红葡萄酒。
西夫拉姆赤霞珠干红葡萄酒,2557,"Saflam Cabernet Sauvignon, Languedoc, France",红葡萄酒,西夫拉姆酒堡,"('赤霞珠',)",,
张裕卡斯特酒庄珍藏级蛇龙珠干红葡萄酒,4342,"Chateau Changyu-Castel Grand Reserve Cabernet Gernischt Dry Red Wien, Yantai,China",红葡萄酒,张裕卡斯特酒庄,"('蛇龙珠',)",诸香协调滋味醇厚,本品呈深宝石红色，澄清晶亮，具浓郁的酒香、和谐的醇香与橡木香气，诸香协调，相得益彰，滋味醇厚，酒体丰满、肥硕，风格典型独特。
