葡萄酒名称,点击次数,英文名,酒款类型,酒庄,酿酒葡萄,风味特征,酒款综述
张裕爱斐堡珍藏级赤霞珠干红葡萄酒,3278,"Chateau Changyu AFIP Global Superior Cabernet Sauvignon, Hebei, China",红葡萄酒,张裕爱斐堡国际酒庄,"('赤霞珠',)",黑李子樱桃,这款珍藏级赤霞珠干红葡萄酒呈深宝石红色，晶亮有光泽，具浓郁的品种香气、馥郁的醇香与橡木桶带来的巧克力香气，诸香和谐，相得益彰。该酒滋味醇厚、肥硕，酒体丰满，结构完整，风格典型独特。
张裕爱斐堡大师级赤霞珠干红葡萄酒,2810,"Chateau Changyu AFIP Global Master’s Choice Cabernet Sauvignon, Hebei, China",红葡萄酒,张裕爱斐堡国际酒庄,"('赤霞珠',)",,这款大师级赤霞珠干红葡萄酒呈深红宝石色，澄清有光泽，香气浓郁怡人，以成熟的黑加仑、黑莓等果香为主，伴有烟熏、甘草、巧克力和香草等复杂香气，诸香平衡。这款葡萄酒的适饮温度为16-18摄氏度，适宜与烤鸭、牛排、火腿、炒肉、羊排等食物搭配。
张裕爱斐堡特选级赤霞珠干红葡萄酒,1867,"Chateau Changyu AFIP Global Premium Cabernet Sauvignon, Hebei, China",红葡萄酒,张裕爱斐堡国际酒庄,"('赤霞珠',)",樱桃覆盆子紫罗兰,这款特选级赤霞珠干红葡萄酒呈深红宝石色，澄清有光泽。香气芬芳纯净，以樱桃、覆盆子等小红浆果香气为主，兼有胡椒、紫罗兰、香草、烘焙等香气。酒体丰满，结构平衡，单宁成熟，口感协调，彰显出典型的赤霞珠品种风格。性价比高，适应大众饮用。
张裕爱斐堡珍藏级霞多丽干白葡萄酒,1632,"Chateau Changyu AFIP Global Superior Chardonnay, Hebei, China",白葡萄酒,张裕爱斐堡国际酒庄,"('霞多丽',)",橡木奶油香草,这款珍藏级霞多丽干白葡萄酒色泽浅金黄，澄清透明，有光泽。果香清新，具奶油、橡木与香草香气，口味圆润、爽净、浓厚、雅致，具有极强的典型性。
张裕爱斐堡蛇龙珠干红葡萄酒,1655,"ChangYu AFIP Global Cabernet Gernischt, Yantai, China",红葡萄酒,张裕爱斐堡国际酒庄,"('蛇龙珠',)",,
爱斐堡1号干红葡萄酒,1697,"Chateau Changyu AFIP Global 1, Beijing, China",红葡萄酒,张裕爱斐堡国际酒庄,"('红葡萄混酿',)",,
瑞云酒庄珍藏赤霞珠干红葡萄酒,5919,"Chateau Nubes Reserve Cabernet Sauvignon, Huailai, China",红葡萄酒,瑞云酒庄,"('赤霞珠',)",樱桃黑加仑橡木,瑞云酒庄珍藏赤霞珠葡萄酒百分之百使用当年采收的酒庄自产赤霞珠葡萄。完美成熟的赤霞珠葡萄全部由酒农手工采摘并分检，之后送入小型发酵罐充分发酵，再经法国225升新橡木桶陈酿。这款葡萄酒具有鲜明的黑加仑、红樱桃和香草香气，入口质感优雅，单宁滑顺，酸甜平衡，余味悠长，非常适宜久藏。
瑞云酒庄珍藏西拉干红葡萄酒,2381,"Chateau Nubes Reserve Syrah, Huailai, China",红葡萄酒,瑞云酒庄,"('西拉',)",红加仑黑加仑淡香料,瑞云酒庄2009年珍藏西拉葡萄酒百分之百选用瑞云葡萄园2009年自产的葡萄浆果。所有葡萄均由酒庄酒农完全手工采收，并在分捡台进行了精细的二次分捡。完美成熟的西拉葡萄在发酵罐22°C左右的环境下发酵13天，再在新橡木桶中陈酿24个月、瓶储6个月。恒温恒湿的专业酒窖令酒液安然避过2009年底到次年初春的极寒天气，而酒窖内的紧压土地则令酒液与外界乾坤声气相接，在不受温度波动影响的前提下，追随气候节律，保有自然的活力。瑞云酒庄2009年珍藏西拉干红葡萄酒口感细腻精确，具有西拉品种典型的红加仑、黑加仑和淡香料香气，余味有巧克力香味和淡雅的木香，是一款令感官充满愉悦的佳酿。
马丁酒庄庄园至尊珍藏干红葡萄酒,1641,"Martin Vineyard Grand Reserve Dry Red, Huailai, China",红葡萄酒,马丁酒庄,"('赤霞珠', '蛇龙珠')",黑醋栗覆盆子黑胡椒蘑菇,这款葡萄酒澄清透亮，呈宝石红色。黑醋栗、覆盆子、黑胡椒和蘑菇等芬芳颇为浓郁，口味成熟，单宁丰富，入口圆润，酒香浓郁，酒体硬朗，活力四射，饮后可以迅速点燃隐藏在人们内心深处欢乐和悸动的火花。
马丁酒庄庄园赤霞珠干红葡萄酒,1574,"Martin Vineyard Cabernet Sauvignon, Huailai, China",红葡萄酒,马丁酒庄,"('赤霞珠',)",红色水果青草,这款葡萄酒采用庄园产出的优质葡萄，以酒庄传统酿造法精心酿制，浸泡与发酵的过程都被严格控制。该葡萄酒具有深紫色丝绸一样光泽，呈宝石红色，成熟的红果香气并带有丝丝青草味道，入口后柔顺平滑，有精致感，活力充足，单宁柔和优雅，轻轻放下酒杯，油然而生去驾驶赛车驰骋赛道的冲动。
