葡萄酒名称,点击次数,英文名,酒款类型,酒庄,酿酒葡萄,风味特征,酒款综述
民权1958霞多丽干白葡萄酒,1935,"Minquan 1958 Chardonnay Dry White, Shangqiu, Henan",白葡萄酒,民权九鼎葡萄酒,"('霞多丽',)",,呈淡雅的浅禾杆黄色，酒液澄清透亮，香气浓郁芬芳，口味纯净细腻，如丝般柔顺，余味缭绕，回味悠长，宛若款款而来的葡萄仙子，处处散发出高贵典雅的气质，堪称葡萄酒之珍品。
民权1958赤霞珠干红葡萄酒,2278,"Minquan 1958 Cabernet Sauvignon Dry Red, Shangqiu, Henan",红葡萄酒,民权九鼎葡萄酒,"('赤霞珠',)",,酒液呈深宝石红色，带有浓郁和谐的红浆果香气，单宁柔顺，口感圆润，酒体丰满，余味悠长。
民权特酿级赤霞珠干红葡萄酒,1757,"Minquan Special Cuvee Cabernet Sauvignon, Shangqiu, Henan",红葡萄酒,民权九鼎葡萄酒,"('赤霞珠',)",,酒液呈精美的宝石红色，香气浓郁，诸香协调，口味醇正优雅，酒体细致丰满，典型性强。
民权精酿级赤霞珠干红葡萄酒,2020,"Minquan Grand Cuvee Cabernet Sauvignon, Shangqiu, Henan",红葡萄酒,民权九鼎葡萄酒,"('赤霞珠',)",,酒液呈精美的宝石红色，香气浓郁，诸香协调，口味醇正优雅，酒体细致丰满，典型性强。
民权特酿级霞多丽干白葡萄酒,1390,"Minquan Special Cuvee Chardonnay, Shangqiu, Henan",白葡萄酒,民权九鼎葡萄酒,"('霞多丽',)",柠檬凤梨榛子奶油,呈淡雅的浅禾杆黄色，清新雅致的香气从柠檬、凤梨到榛子、奶油层层打开，酒体丝滑柔顺、以长长的回味收尾。是一款非常适合搭配贝类食物尤其是生蚝的相当出色的佐餐酒。
民权1958西拉干红葡萄酒,2092,"Minquan 1958 Syrah Dry Red, Shangqiu, Henan",红葡萄酒,民权九鼎葡萄酒,"('西拉',)",樱桃黑莓胡椒,饱满醇厚的酒体摇曳着迷人红宝石光泽，胡椒的香气使樱桃﹑黑莓的果香更加平衡深邃，紧致丰厚的结构感令其有更多层次的表达，余味浓郁绵延，极具陈酿潜力，适合与牛排、烧烤、奶酪搭配。
民权珍藏赤霞珠干红葡萄酒,1138,"Minquan Reserve Cabernet Sauvignon, Shangqiu, Henan",红葡萄酒,民权九鼎葡萄酒,"('赤霞珠',)",,酒液呈深宝石红色，带有浓郁和谐的红浆果香气，单宁柔顺，口感圆润，酒体丰满，余味悠长。
民权河南红禅宗之源赤霞珠干红葡萄酒,2471,"Minquan Henan Hong Zen Origin Cabernet Sauvignon, Henan, China",红葡萄酒,民权九鼎葡萄酒,"('赤霞珠',)",李子樱桃香料,呈深紫红色泽，富含李子、樱桃和香料气味。酸性与果味均衡协调，单宁充足、酒体强劲。余韵中绽放出巧克力和香草的芬芳。食品搭配牛柳、烧烤等。最佳饮用温度12-18℃。
民权优酿级赤霞珠干红葡萄酒,1716,"Minquan Fine Cuvee Cabernet Sauvignon, Shangqiu, Henan",红葡萄酒,民权九鼎葡萄酒,"('赤霞珠',)",,口感浓厚，外观呈宝石红色，味觉上圆润饱满，余味绵长，单宁优雅，酒体强劲有力。
民权河南红豫剧之邦赤霞珠干红葡萄酒,1527,"Minquan Henan Hong Yu Opera Country Cabernet Sauvignon, Henan, China",红葡萄酒,民权九鼎葡萄酒,"('赤霞珠',)",小红果果酱,呈瑰丽的宝石红色，极具浓郁的小红果和果酱的芳香，完美的层次，柔顺、圆润的结构赋予这款酒丝般口感，更拥有迷人馥郁的余味。
民权特酿级梅洛干红葡萄酒,1107,"Minquan Special Cuvee Merlot, Shangqiu, Henan",红葡萄酒,民权九鼎葡萄酒,"('梅洛',)",樱桃黑巧克力,呈现华丽的红宝石色泽，具黑樱桃和黑巧克力的芬芳气味，优雅的单宁赋予她天鹅绒般的特质，丝滑入口，余韵悠长。
民权精品1958赤霞珠干红葡萄酒,1353,"Minquan Fine 1958 Cabernet Sauvignon Dry Red, Shangqiu, Henan",红葡萄酒,民权九鼎葡萄酒,"('赤霞珠',)",红色浆果,酒液呈深宝石红色，带有浓郁和谐的红浆果香气，单宁柔顺，口感圆润，酒体丰满，余味悠长。
冷谷红亿得利窖藏级赤霞珠干红葡萄酒,2770,"Cold Valley Red Yideli Cellar Reserve Cabernet Sauvignon, Shangqiu, China",红葡萄酒,冷谷红葡萄酒,"('赤霞珠',)",,酒液呈现诱人的宝石红色，醇厚适口，浓郁悦人，回味悠长。
冷谷红亿得利典藏级梅洛干红葡萄酒,2113,"Cold Valley Red Yideli Classic Reserve Merlot, Shangqiu, China",红葡萄酒,冷谷红葡萄酒,"('梅洛',)",,酒液呈现诱人的宝石红色，醇厚适口，浓郁悦人，回味悠长。
冷谷红亿得利典藏级霞多丽干白葡萄酒,1263,"Cold Valley Red Yideli Classic Reserve Chardonnay, Shangqiu, China",白葡萄酒,冷谷红葡萄酒,"('霞多丽',)",,酒液呈白中带绿，口感清新，尾韵爽滑畅快，令人回味。
