葡萄酒名称,点击次数,英文名,酒款类型,酒庄,酿酒葡萄,风味特征,酒款综述
留世传奇限量珍藏红葡萄酒,11316,"Legacy Peak Estate Grown, Ningxia, China",红葡萄酒,留世酒庄,"('梅洛', '赤霞珠')",黑醋栗黑樱桃香草,这款酒以50%赤霞珠与50%梅洛进行混酿，呈红宝石色，表现出成熟的黑醋栗、李子和甘草香气，透露出精致的香草和烤杏仁香气，口感上成熟的黑醋栗和红樱桃香气主导，透露出橡木桶赋予的香气，富有层次，令人愉悦，单宁细致、丰富，令这款酒拥有更长的陈年潜力。
夏桐天然型起泡葡萄酒,5907,"Domaine Chandon Brut, Ningxia, China",起泡酒,夏桐酒庄,"('霞多丽', '黑皮诺')",柠檬白花奶酪蜂蜜,这款起泡酒产自中国宁夏产区，由酩悦香槟（MoetChandon）在中国宁夏创建的夏桐酒庄酿造。此酒使用霞多丽和黑皮诺混酿而成，部份基酒进行乳酸发酵；酒的外观透亮，泡沫丰富、细腻，清新的蜂蜜香气扑面而来，继而出现奶酪、新鲜的柑橘和淡淡的花香；酸度适中，口感干净，口中表现出丰富而精致的热带水果香气，味道均衡、细腻，余韵带有淡淡的柠檬香。
夏桐粉红起泡葡萄酒,3598,"Domaine Chandon Brut Rose, Ningxia, China",起泡酒,夏桐酒庄,"('霞多丽', '黑皮诺')",梅果类、花香,这款酒使用黑皮诺葡萄的比例约35%-40%，使用浸皮法提取颜色。呈现出明亮的粉红色，泡沫细腻丰富，非常活跃；散发出非常鲜美的红色梅果类香气，香气馥郁、持久；酸度活跃，口腔中感受到明显的花香，与鲜美的梅果类香气交织在一起相辅相成。
巴格斯特级赤霞珠干红葡萄酒,4357,"Chateau Bacchus Grand Reserve Cabernet Sauvignon, Ningxia, China",红葡萄酒,巴格斯酒庄,"('赤霞珠',)",黑色浆果、烘烤、青草,此款特级赤霞珠干红葡萄酒，酒体呈亮丽的深宝石红色，酒体澄清透亮，具有浓郁的成熟黑色浆果和熏烤香气，酒体强大坚实，入口有淡淡的青草香气，单宁强劲细腻，余味悠长。
巴格斯一级梅鹿辄干红葡萄酒,4384,"Chateau Bacchus Premier Merlot, Ningxia, China",红葡萄酒,巴格斯酒庄,"('梅洛',)",樱桃、梅子、烘烤、橡木气息,这款红葡萄酒呈深宝石红色，酒液澄清透明，富有光泽，酒香诱人，酸度适中，饱满的橡木质感与完美的单宁柔和，使其口感如天鹅绒般丝滑、精致。回味愉悦、悠长。
巴格斯霞多丽干白葡萄酒,2255,"Chateau Bacchus Chardonnay, Ningxia, China",白葡萄酒,巴格斯酒庄,"('霞多丽',)",柑橘类、苹果,这款葡萄酒使用法国酿造工艺，呈现出淡淡的金黄色，带有柑橘类、苹果等水果香气，结构清新，酸度适中，非常易饮。
巴格斯特级蛇龙珠干红葡萄酒,2191,"Chateau Bacchus Grand Reserve Cabernet Gernischt, Ningxia, China",红葡萄酒,巴格斯酒庄,"('蛇龙珠',)",黑色浆果、咖啡,这款特级蛇龙珠干红葡萄酒呈现出靓丽的宝石红色，具有黑色浆果和咖啡的香气，清新优雅，口感柔顺舒爽，酒体协调而饱满，余韵悠长。
巴格斯珍藏红葡萄酒,4919,"Bacchus Reserve,Bordeaux,France",红葡萄酒,巴格斯酒庄,"('品丽珠', '梅洛', '赤霞珠')",,这款葡萄酒产自法国波尔多的巴格斯酒庄，采用波尔多混酿品种酿造而成。
迦南美地小马驹干红葡萄酒,9238,"Kanaan Winery Pretty pony, Ningxia, China",红葡萄酒,迦南美地酒庄,"('梅洛', '赤霞珠')",黑樱桃李子黑莓,小马驹是迦南美地的旗舰酒款之一，源自贺兰山东麓，其酒液呈漂亮的宝石红色，入口后涌现出浓郁的深色水果香气，并伴随着咖啡、桂皮和巧克力的气息，酒体饱满，口感平衡。
迦南美地雷司令霞多丽混酿干白葡萄酒,2064,"Kanaan Winery Chardonnay and Riesling Blend, Ningxia, China",白葡萄酒,迦南美地酒庄,"('霞多丽', '雷司令')",柑橘类、香梨、白色核果,这款葡萄酒呈淡淡的金黄色，表现出青柠、香梨、柑橘类水果和白色核果香气，纯净清新，优雅自然，夹杂着丝丝汽油味，沁人心脾。入口圆润，层次分明，酒体柔和，表现均衡。
