葡萄酒名称,点击次数,英文名,酒款类型,酒庄,酿酒葡萄,风味特征,酒款综述
汉森四星干红葡萄酒,2175,"Chateau Hansen Four Star Red Wine, Mongolia, China",红葡萄酒,汉森酒庄,"('品丽珠', '赤霞珠', '蛇龙珠')",果香浓郁圆润柔滑,这款葡萄酒以贺兰山北麓生长表现最佳的名种葡萄蛇龙珠，赤霞珠，品丽珠混合酿造而成。酒液呈深宝石红色，具有独特的杏仁及烤焙香，果香浓郁，圆润而柔滑，佐以奶酪，烤肉，味道绝妙。
汉森三星干红葡萄酒,2951,"Chateau Hansen Three Star Red Wine, Mongolia, China",红葡萄酒,汉森酒庄,"('品丽珠', '赤霞珠', '蛇龙珠')",果香浓郁圆润柔滑,这款葡萄酒以蛇龙珠、赤霞珠、品丽珠混合酿造而成。色泽深宝石红色，果香馥郁，圆融而柔滑。具有独特的杏仁及烤焙香。佐以烤肉、奶酪，味道绝妙。
汉森沙漠酒窖窖藏梅洛干红葡萄酒,2114,"Chateau Hansen Desert Cellar Merlot Reserve Red Wine, Mongolia, China",红葡萄酒,汉森酒庄,"('梅洛',)",细腻柔顺均衡,这款葡萄酒精选位于北纬39°世界酿酒葡萄黄金种植带的汉森葡萄园限产300公斤/亩的优质梅鹿辄为原料。酒液呈深宝石红带瓦红色，有丰富的李子、黑加仑等香气，口感细腻、柔顺、均衡，余味悠长。
汉森经典干红葡萄酒,3794,"Chateau Hansen Classic Red Wine, Mongolia, China",红葡萄酒,汉森酒庄,"('品丽珠', '赤霞珠', '佳美')",协调浓郁余味悠长,这款葡萄酒选自位于贺兰山北麓的乌海市，是我国最佳酿酒葡萄产区之一的赤霞珠，品丽珠，佳美等多品种，混合酿造而成。酒液呈现宝石红色，入口舒顺，酒体丰满，协调浓郁，余味悠长，具有中国西部干红的典型风格。
汉森五星干红葡萄酒,3742,"Chateau Hansen Five Star Red Wine, Mongolia, China",红葡萄酒,汉森酒庄,"('赤霞珠', '蛇龙珠')",酒体饱满口感醇厚,这款葡萄酒精选位于北纬39°世界酿酒葡萄黄金种植带的汉森葡萄园限产300公斤/亩的优质赤霞珠，蛇龙珠为原料。酒液呈深宝石色带瓦红色，具复杂的黑色浆果香气，烘烤香气，橡木香与酒香完美融合，香气浓郁，入口圆润，酒体饱满，口感醇厚，协调，层次感强，余味悠长。
汉森沙漠葡园精选干白葡萄酒,1029,"Chateau Hansen Desert Winery Sellection White Wine, Mongolia, China",白葡萄酒,汉森酒庄,"('霞多丽', '赤霞珠', '赛美蓉')",果香芬芳口感甘醇清爽宜人,这款葡萄酒以产自贺兰山北麓乌兰布和沙漠的乌海地区生长的优质赤霞珠，霞多丽，赛美蓉，龙眼葡萄为原料。酒液呈禾杆黄色，果香芬芳，口感甘醇，晶莹透亮，果香芬芳，口感甘醇，清爽宜人，是与海鲜搭配的妙品。
汉森迎宾赤霞珠干红葡萄酒,1422,"Chateau Hansen Bienvenues Cabernet Sauvignon Red Wine, Mongolia, China",红葡萄酒,汉森酒庄,"('赤霞珠',)",圆润丰满余味长,这款葡萄酒以贺兰山北麓库布齐沙漠和乌兰布合沙漠交界的乌海地区的赤霞珠为原料精酿而成。酒液呈呈宝石红色，具有浓郁的红色小浆果香气，酒体圆润、丰满，骨架鲜明，余味长，典型性强。
汉森沙漠酒窖窖藏蛇龙珠干红葡萄酒,1336,"Chateau Hansen Desert Cellar Cabernet Gernischt Reserve Red Wine, Mongolia, China",红葡萄酒,汉森酒庄,"('蛇龙珠',)",细腻优雅尊贵典雅,这款葡萄酒色泽呈深宝石红微带瓦红色，有丰富的李子等浆果香气和烟熏、烘烤的香气，酒体丰满、醇厚、均衡，单宁细腻优雅，完美地体现了葡萄酒的尊贵和典雅。
汉森沙漠酒窖窖藏特制干红葡萄酒,1622,"Chateau Hansen Desert Cellar Special Reserve Red Wine, Mongolia, China",红葡萄酒,汉森酒庄,"('梅洛',)",柔滑圆润酒体醇厚,这款葡萄酒精选位于北纬39°世界酿酒葡萄黄金种植带的汉森葡萄园限产300公斤/亩的优质梅洛为原料。酒液深宝石红色带瓦红色，浓郁的橡木香与酒香完美融合入口柔滑圆润，酒体醇厚，芳香持久。
汉森沙漠酒窖窖藏赤霞珠干红葡萄酒,1094,"Chateau Hansen Desert Cellar Cabernet Sauvignon Reserve Red Wine, Mongolia, China",红葡萄酒,汉森酒庄,"('赤霞珠',)",细腻柔顺均衡,这款葡萄酒精选位于北纬39°世界酿酒葡萄黄金种植带的汉森葡萄园限产300公斤/亩的优质赤霞珠为原料。酒液呈深宝石红带瓦红色，散发着果香、醇香浓郁雅致，酒体醇厚，余味悠长。
